Type,ID,Name,Color
Metabolite,C00112,CDP,#FF7E7E
Metabolite,C00055,CMP,#FF7878
Metabolite,C00214,Thymidine,#FF7E7E
Metabolite,C00178,Thymine,#FF7E7E
Metabolite,C00099,beta-Alanine,#FF8180
Metabolite,C00129,Isopentenyl diphosphate,#95DF79
Metabolite,C00083,Malonyl-CoA,#83CDCD
Metabolite,C00052,UDP-alpha-D-galactose,#B4B4E6
Metabolite,C01011,(3S)-Citramalyl-CoA,#B3B3E6
Metabolite,C00136,Butanoyl-CoA,#82CDCD
Metabolite,C00231,D-Xylulose 5-phosphate,#7C7CF7
Metabolite,C00279,D-Erythrose 4-phosphate,#8282F7
Metabolite,C00242,Guanine,#FF8080
Metabolite,C00268,Dihydrobiopterin,#FFB2CB
Metabolite,C00239,dCMP,#FF8282
Metabolite,C00254,Prephenate,#FFC85B
Metabolite,C00079,L-Phenylalanine,#FFCD68
Metabolite,C00082,L-Tyrosine,#FFD068
Metabolite,C00086,Urea,#FFC95C
Metabolite,C00011,CO2,#FFC85A
Metabolite,C00235,Dimethylallyl diphosphate,#98E07C
Metabolite,C00074,Phosphoenolpyruvate,#CA95FF
Metabolite,C00022,Pyruvate,#CD9AFF
Metabolite,C00036,Oxaloacetate,#CB98FF
Metabolite,C00149,(S)-Malate,#CC9AFF
Metabolite,C00041,L-Alanine,#CD9BFF
Metabolite,C00049,L-Aspartate,#C78FFF
Metabolite,C00197,3-Phospho-D-glycerate,#B3B3E6
Metabolite,C00160,Glycolate,#AEAEE4
Metabolite,C00058,Formate,#B3B3E6
Metabolite,C00048,Glyoxylate,#B1B1E5
Metabolite,C00236,3-Phospho-D-glyceroyl phosphate,#C992FF
Metabolite,C00118,D-Glyceraldehyde 3-phosphate,#CB98FF
Metabolite,C00085,D-Fructose 6-phosphate,#CB97FF
Metabolite,C00117,D-Ribose 5-phosphate,#CA96FF
Metabolite,C00199,D-Ribulose 5-phosphate,#CA96FF
Metabolite,C00231,D-Xylulose 5-phosphate,#CD9CFF
Metabolite,C00067,Formaldehyde,#CC98FF
Metabolite,C00132,Methanol,#C78FFF
Metabolite,C00080,H+,#C892FF
Metabolite,C00003,NAD+,#C993FF
Metabolite,C00004,NADH,#CE9CFF
Metabolite,C00080,H+,#CB97FF
Metabolite,C00080,H+,#CD9BFF
Metabolite,C00080,H+,#CD9CFF
Metabolite,C00080,H+,#CD9AFF
Metabolite,C00080,H+,#CB98FF
Metabolite,C00080,H+,#CD9CFF
Metabolite,C00007,Oxygen,#CC99FF
Metabolite,C00001,H2O,#CA96FF
Metabolite,C00080,H+,#CD9CFF
Metabolite,C00080,H+,#CD9BFF
Metabolite,C00002,ATP,#CD9CFF
Metabolite,C00009,Orthophosphate,#CB98FF
Metabolite,C00232,Succinate semialdehyde,#FECC69
Metabolite,C00152,L-Asparagine,#FFCD69
Metabolite,C00258,D-Glycerate,#B4B4E6
Metabolite,C00209,Oxalate,#B4B4E6
Metabolite,C00234,10-Formyltetrahydrofolate,#B1B1E6
Metabolite,C00143,"5,10-Methylenetetrahydrofolate",#ACACE4
Metabolite,C00083,Malonyl-CoA,#ADADE4
Metabolite,C00005,NADPH,#CD9CFF
Metabolite,C00006,NADP+,#CD9CFF
Metabolite,C00279,D-Erythrose 4-phosphate,#CC99FF
Metabolite,C00207,Acetone,#77C8C8
Metabolite,C00164,Acetoacetate,#73C7C7
Metabolite,C00222,3-Oxopropanoate,#D98B7F
Metabolite,C00154,Palmitoyl-CoA,#82CDCD
Metabolite,C00080,H+,#CC99FF
Metabolite,C00080,H+,#CB98FF
Metabolite,C00008,ADP,#CD9BFF
Metabolite,C00002,ATP,#CD9BFF
Metabolite,C00080,H+,#CC98FF
Metabolite,C00080,H+,#CB97FF
Metabolite,C00043,UDP-N-acetyl-alpha-D-glucosamine,#B4B4E6
Metabolite,C00159,D-Mannose,#B2B2E6
Metabolite,C00181,D-Xylose,#ADADE4
Metabolite,C00191,D-Glucuronate,#B4B4E6
Metabolite,C00167,UDP-glucuronate,#ACACE3
Metabolite,C00130,IMP,#FF7F7F
Metabolite,C00213,Sarcosine,#FFCC65
Metabolite,C00120,Biotin,#FFB4CD
Metabolite,C00170,5'-Methylthioadenosine,#FFCC67
Metabolite,C00148,L-Proline,#FFCB63
Metabolite,C00097,L-Cysteine,#FF9A03
Metabolite,C00014,Ammonia,#FCCA71
Metabolite,C00263,L-Homoserine,#FFC95E
Metabolite,C00123,L-Leucine,#FFC95C
Metabolite,C00073,L-Methionine,#FFCD69
Metabolite,C00169,Carbamoyl phosphate,#FFCC67
Metabolite,C00051,Glutathione,#FF9A03
Metabolite,C00272,Tetrahydrobiopterin,#FFB2CB
Metabolite,C00219,Arachidonate,#82CDB4
Metabolite,C00246,Butanoic acid,#B4B4E6
Metabolite,C00206,dADP,#FF7F7F
Metabolite,C00008,ADP,#FF8080
Metabolite,C00039,DNA,#FF8181
Metabolite,C00217,D-Glutamate,#FF9804
Metabolite,C00224,Adenylyl sulfate,#CD9BFF
Metabolite,C00084,Acetaldehyde,#7D7DF7
Metabolite,C00258,D-Glycerate,#8282F7
Metabolite,C00198,"D-Glucono-1,5-lactone",#8282F7
Metabolite,C00119,5-Phospho-alpha-D-ribose 1-diphosphate,#8282F7
Metabolite,C00117,D-Ribose 5-phosphate,#8181F7
Metabolite,C00168,Hydroxypyruvate,#B4B4E6
Metabolite,C00116,Glycerol,#7DCBB1
Metabolite,C00093,sn-Glycerol 3-phosphate,#77C8AE
Metabolite,C00046,RNA,#FF8282
Metabolite,C00105,UMP,#FF7474
Metabolite,C00262,Hypoxanthine,#FF7474
Metabolite,C00381,Dolichol,#9CCDFF
Metabolite,C01246,Dolichyl beta-D-glucosyl phosphate,#9CCDFF
Metabolite,C03862,Dolichyl phosphate D-mannose,#9ACCFF
Generic metabolite class,G00006,,#99CCFF
Generic metabolite class,G10595,,#9BCDFF
Generic metabolite class,G10596,,#94C9FF
Generic metabolite class,G10597,,#9BCDFF
Generic metabolite class,G00007,,#9BCDFF
Generic metabolite class,G10598,,#9BCDFF
Generic metabolite class,G10599,,#9ACDFF
Generic metabolite class,G00008,,#9BCDFF
Metabolite,C03021,Protein asparagine,#9BCDFF
Metabolite,C00621,Dolichyl diphosphate,#9ACCFF
Generic metabolite class,G00009,,#9ACDFF
Generic metabolite class,G00171,,#9ACDFF
Generic metabolite class,G00012,,#9BCDFF
Generic metabolite class,G00013,,#97CBFF
Generic metabolite class,G00014,,#94CAFF
Generic metabolite class,G00015,,#9BCDFF
Generic metabolite class,G00019,,#9CCEFF
Generic metabolite class,G00020,,#94C9FF
Generic metabolite class,G00021,,#9ACDFF
Generic metabolite class,G00022,,#94C9FF
Generic metabolite class,G00016,,#95CAFF
Generic metabolite class,G00017,,#9ACCFF
Generic metabolite class,G00018,DS 3,#99CCFF
Generic metabolite class,G10694,,#98CBFF
Generic metabolite class,G01813,,#9BCDFF
Generic metabolite class,G10841,,#99CCFF
Generic metabolite class,G11040,,#9BCDFF
Generic metabolite class,G12625,,#9CCDFF
Generic metabolite class,G10611,UDP-N-acetyl-D-galactosamine,#8FC7FF
Metabolite,C02189,[Protein]-L-serine,#9BCDFF
Generic metabolite class,G00023,Tn antigen,#95CAFF
Generic metabolite class,G00035,Sialyl-Tn antigen,#9BCDFF
Generic metabolite class,G00024,T antigen,#9ACCFF
Generic metabolite class,G00025,,#98CCFF
Generic metabolite class,G00026,,#9CCDFF
Generic metabolite class,G00027,,#96CBFF
Generic metabolite class,G00030,,#9CCEFF
Generic metabolite class,G00031,,#9BCDFF
Generic metabolite class,G00033,,#9CCEFF
Generic metabolite class,G00034,,#92C8FF
Generic metabolite class,G00154,,#93C9FF
Generic metabolite class,G00147,,#9ACDFF
Metabolite,C01290,beta-D-Galactosyl-(1-&gt;4)-beta-D-glucosyl-(1&lt;-&gt;1)-ceramide,#97CBFF
Generic metabolite class,G00036,Lc3Cer,#9BCDFF
Generic metabolite class,G00037,Lc4Cer,#99CCFF
Generic metabolite class,G00046,Fuc-Lc4Cer,#9CCDFF
Generic metabolite class,G00044,IV2Fuc-Lc4Cer,#9ACDFF
Generic metabolite class,G00047,3'-isoLM1,#98CCFF
Generic metabolite class,G00048,Fuc-3'-isoLM1,#9ACDFF
Generic metabolite class,G00042,Type IA glycolipid,#9BCDFF
Generic metabolite class,G00043,,#9ACDFF
Generic metabolite class,G00045,"IV2Fuc,III4Fuc-Lc4Cer",#97CBFF
Generic metabolite class,G00039,Type IB glycolipid,#9BCDFF
Generic metabolite class,G00040,,#92C9FF
Generic metabolite class,G00050,Paragloboside,#9ACCFF
Generic metabolite class,G00056,"III3,IV2Fuc-nLc4Cer",#9BCDFF
Generic metabolite class,G00060,III3Fuc-nLc4Cer,#8FC7FF
Generic metabolite class,G00066,nLc5Cer,#9ACDFF
Generic metabolite class,G00067,nLc6Cer,#96CBFF
Generic metabolite class,G00077,,#8EC7FF
Generic metabolite class,G00078,iso-nLc8Cer,#91C8FF
Generic metabolite class,G00052,Type II B antigen,#9BCDFF
Generic metabolite class,G00058,Type IIIH glycolipid,#9BCDFF
Generic metabolite class,G00059,Type IIIA glycolipid,#9BCDFF
Generic metabolite class,G00062,Sialyl-3-paragloboside,#9BCDFF
Generic metabolite class,G00063,"IV3NeuAc,III3Fuc-nLc4Cer",#9CCEFF
Generic metabolite class,G00093,Globotriaosylceramide,#9BCDFF
Generic metabolite class,G00094,Globoside,#9ACDFF
Generic metabolite class,G00097,Galactosylgloboside,#99CCFF
Generic metabolite class,G00098,Monosialylgalactosylgloboside,#9ACDFF
Generic metabolite class,G00095,"Forssman antigen, IV3GalNAca-Gb4Cer",#9ACDFF
Generic metabolite class,G00099,Globo-H,#98CBFF
Generic metabolite class,G00108,GM3,#99CCFF
Generic metabolite class,G00109,GM2,#98CBFF
Generic metabolite class,G00110,GM1,#96CAFF
Generic metabolite class,G00111,GD1a,#98CCFF
Generic metabolite class,G00112,GT1a,#97CBFF
Generic metabolite class,G00113,GD3,#9ACCFF
Generic metabolite class,G00114,GD2,#99CCFF
Generic metabolite class,G00115,GD1b,#97CBFF
Generic metabolite class,G00116,GT1b,#99CCFF
Generic metabolite class,G00117,GQ1b,#98CBFF
Generic metabolite class,G00118,GT3,#99CCFF
Generic metabolite class,G00119,GT2,#98CCFF
Generic metabolite class,G00120,GT1c,#97CBFF
Generic metabolite class,G00121,GQ1c,#99CCFF
Generic metabolite class,G00122,GP1c,#97CBFF
Generic metabolite class,G00123,GA2,#9ACDFF
Generic metabolite class,G00124,GA1,#99CCFF
Generic metabolite class,G00125,GM1b,#9ACDFF
Generic metabolite class,G00126,GD1c,#9ACCFF
Generic metabolite class,G00128,GT1aalpha,#9ACCFF
Generic metabolite class,G00129,GQ1balpha,#91C8FF
Generic metabolite class,G00127,GD1a,#93C9FF
Generic metabolite class,G00130,GM2alpha,#99CCFF
Generic metabolite class,G00131,GM1alpha,#99CCFF
Generic metabolite class,G00132,GD1beta,#9BCDFF
Generic metabolite class,G00169,9-O-Acetylated GD3,#9BCDFF
Generic metabolite class,G00170,9-O-Acetylated GT3,#9ACDFF
Generic metabolite class,G00001,N-Acetyl-D-glucosaminyldiphosphodolichol,#9BCDFF
Generic metabolite class,G00002,"N,N'-Chitobiosyldiphosphodolichol",#9BCDFF
Generic metabolite class,G00003,,#94C9FF
Generic metabolite class,G00004,,#9BCDFF
Generic metabolite class,G00005,,#97CBFF
Metabolite,C06022,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine,#96CAFF
Metabolite,C04652,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine",#9CCDFF
Metabolite,C04824,Lipid X,#9ACDFF
Metabolite,C04932,Lipid A disaccharide,#9ACDFF
Metabolite,C06025,Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A),#9BCDFF
Metabolite,C06026,Di[3-deoxy-D-manno-octulosonyl]-lipid A,#96CAFF
Metabolite,C06398,ADP-L-glycero-beta-D-manno-heptose,#96CBFF
Metabolite,C06397,ADP-D-glycero-beta-D-manno-heptose,#9BCDFF
Metabolite,C07838,D-glycero-beta-D-manno-Heptose 1-phosphate,#9BCDFF
Metabolite,C11472,"D-glycero-beta-D-manno-Heptose 1,7-bisphosphate",#98CBFF
Metabolite,C07836,D-glycero-beta-D-manno-Heptose 7-phosphate,#93C9FF
Metabolite,C00338,Lipopolysaccharide,#9BCDFF
Metabolite,C01212,UDP-N-acetylmuramoyl-L-alanine,#98CCFF
Metabolite,C05892,UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine,#9ACDFF
Metabolite,C04702,UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala),#9BCDFF
Metabolite,C04851,MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol,#9BCDFF
Metabolite,C05893,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,#9ACDFF
Metabolite,C05894,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine,#9BCDFF
Metabolite,C17541,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine,#9BCDFF
Metabolite,C06427,"(9Z,12Z,15Z)-Octadecatrienoic acid",#84CEB5
Metabolite,C02737,Phosphatidylserine,#77C8AE
Metabolite,C00350,Phosphatidylethanolamine,#7DCBB1
Metabolite,C00570,CDP-ethanolamine,#80CCB3
Metabolite,C00346,Ethanolamine phosphate,#7CCAB1
Metabolite,C00307,CDP-choline,#82CDB4
Metabolite,C00588,Choline phosphate,#7FCCB2
Metabolite,C01241,Phosphatidyl-N-methylethanolamine,#82CDB4
Metabolite,C04308,Phosphatidyl-N-dimethylethanolamine,#83CDB5
Metabolite,C00416,Phosphatidate,#82CDB4
Metabolite,C04046,"3-D-Glucosyl-1,2-diacylglycerol",#84CDB5
Metabolite,C06040,Diglucosyldiacylglycerol,#80CCB3
Metabolite,C13508,Sulfoquinovosyldiacylglycerol,#81CCB4
Metabolite,C01264,2-Acetyl-1-alkyl-sn-glycero-3-phosphate,#80CCB3
Metabolite,C03820,1-Alkyl-2-acetyl-sn-glycerol,#76C8AD
Metabolite,C04598,2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine,#80CCB3
Metabolite,C05977,2-Acyl-1-alkyl-sn-glycero-3-phosphate,#7ACAB0
Metabolite,C03201,1-Alkyl-2-acylglycerol,#80CCB3
Metabolite,C04475,1-Alkyl-2-acylglycerophosphoethanolamine,#7FCCB3
Metabolite,C04756,O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine,#7BCAB0
Metabolite,C04635,1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine,#77C8AE
Metabolite,C03454,1-Alkenyl-2-acylglycerol,#79C9AF
Metabolite,C02686,Galactosylceramide,#83CDB5
Metabolite,C06125,Sulfatide,#82CDB4
Metabolite,C00550,Sphingomyelin,#81CCB4
Metabolite,C02934,3-Dehydrosphinganine,#84CEB5
Metabolite,C05965,12(S)-HPETE,#78C9AE
Metabolite,C14823,8(S)-HPETE,#81CDB4
Metabolite,C14776,8(S)-HETE,#83CDB5
Metabolite,C14812,12(R)-HPETE,#82CDB4
Metabolite,C14822,12(R)-HETE,#83CDB5
Metabolite,C14768,"5,6-EET",#78C9AE
Metabolite,C14772,"5,6-DHET",#77C8AE
Metabolite,C14769,"8,9-EET",#79C9AF
Metabolite,C14773,"8,9-DHET",#7FCCB3
Metabolite,C14770,"11,12-EET",#80CCB3
Metabolite,C14774,"11,12-DHET",#80CCB3
Metabolite,C14748,20-HETE,#84CEB5
Metabolite,C14749,19(S)-HETE,#81CCB4
Metabolite,C05956,Prostaglandin G2,#82CDB4
Metabolite,C05356,5(S)-HPETE,#82CDB4
Metabolite,C02166,Leukotriene C4,#83CDB5
Metabolite,C05951,Leukotriene D4,#82CDB4
Metabolite,C05966,15(S)-HPETE,#7BCAB0
Metabolite,C14781,"15H-11,12-EETA",#81CCB4
Metabolite,C14782,"11,12,15-THETA",#84CDB5
Metabolite,C14813,"11H-14,15-EETA",#81CDB4
Metabolite,C14814,"11,14,15-THETA",#82CDB4
Metabolite,C00427,Prostaglandin H2,#82CDB4
Metabolite,C02198,Thromboxane A2,#81CCB3
Metabolite,C05963,Thromboxane B2,#82CDB4
Metabolite,C05964,11-Dehydro-thromboxane B2,#82CDB4
Metabolite,C00639,Prostaglandin F2alpha,#7ECBB2
Metabolite,C00584,Prostaglandin E2,#82CDB4
Metabolite,C01312,Prostaglandin I2,#81CCB3
Metabolite,C05961,6-Keto-prostaglandin F1alpha,#83CDB5
Metabolite,C05962,6-Keto-prostaglandin E1,#82CDB4
Metabolite,C00696,Prostaglandin D2,#7BCAB0
Metabolite,C05957,Prostaglandin J2,#81CDB4
Metabolite,C05958,Delta-12-Prostaglandin J2,#84CDB5
Metabolite,C05953,Prostaglandin A2,#81CCB4
Metabolite,C05955,Prostaglandin C2,#78C9AE
Metabolite,C05954,Prostaglandin B2,#7ACAAF
Metabolite,C03242,Dihomo-gamma-linolenate,#83CDB5
Metabolite,C06426,"(6Z,9Z,12Z)-Octadecatrienoic acid",#84CDB5
Metabolite,C14826,12(13)-EpOME,#7ACAB0
Metabolite,C04785,13(S)-HPOT,#82CDB4
Metabolite,C04672,"(9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid",#81CDB4
Metabolite,C01226,12-OPDA,#83CDB5
Metabolite,C16332,trans-2-Enoyl-OPC6-CoA,#82CDB4
Metabolite,C16338,3-Oxo-OPC4-CoA,#83CDB5
Metabolite,C08491,(-)-Jasmonic acid,#83CDB5
Metabolite,C00422,Triacylglycerol,#7ECBB2
Metabolite,C01190,beta-D-Glucosyl-(1&lt;-&gt;1)-ceramide,#9BCDFF
Metabolite,C05272,trans-Hexadec-2-enoyl-CoA,#83CDCD
Metabolite,C05273,trans-Tetradec-2-enoyl-CoA,#82CDCD
Metabolite,C05260,(S)-3-Hydroxytetradecanoyl-CoA,#82CDCD
Metabolite,C03221,2-trans-Dodecenoyl-CoA,#81CCCC
Metabolite,C05262,(S)-3-Hydroxydodecanoyl-CoA,#7ACACA
Metabolite,C05275,trans-Dec-2-enoyl-CoA,#83CDCD
Metabolite,C05264,(S)-Hydroxydecanoyl-CoA,#80CCCC
Metabolite,C01944,Octanoyl-CoA,#82CDCD
Metabolite,C05276,trans-Oct-2-enoyl-CoA,#82CDCD
Metabolite,C05266,(S)-3-Hydroxyoctanoyl-CoA,#82CDCD
Metabolite,C05270,Hexanoyl-CoA,#80CCCC
Metabolite,C05271,trans-Hex-2-enoyl-CoA,#82CDCD
Metabolite,C05268,(S)-Hydroxyhexanoyl-CoA,#7BCACA
Metabolite,C01144,(S)-3-Hydroxybutanoyl-CoA,#81CCCC
Metabolite,C05764,Hexadecanoyl-[acp],#82CDCD
Metabolite,C05763,trans-Hexadec-2-enoyl-[acp],#82CDCD
Metabolite,C04633,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein],#82CDCD
Metabolite,C05762,3-Oxohexadecanoyl-[acp],#82CDCD
Metabolite,C05761,Tetradecanoyl-[acp],#7DCBCB
Metabolite,C05760,trans-Tetradec-2-enoyl-[acp],#80CCCC
Metabolite,C04688,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],#7FCCCC
Metabolite,C05759,3-Oxotetradecanoyl-[acp],#7DCBCB
Metabolite,C05223,Dodecanoyl-[acyl-carrier protein],#82CDCD
Metabolite,C05758,trans-Dodec-2-enoyl-[acp],#83CDCD
Metabolite,C05757,(R)-3-Hydroxydodecanoyl-[acp],#82CDCD
Metabolite,C05756,3-Oxododecanoyl-[acp],#82CDCD
Metabolite,C05755,Decanoyl-[acp],#77C8C8
Metabolite,C05754,trans-Dec-2-enoyl-[acp],#7BCACA
Metabolite,C04619,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein],#79C9C9
Metabolite,C05753,3-Oxodecanoyl-[acp],#77C8C8
Metabolite,C05752,Octanoyl-[acp],#7ECBCB
Metabolite,C05751,trans-Oct-2-enoyl-[acp],#81CCCC
Metabolite,C04620,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein],#80CCCC
Metabolite,C05750,3-Oxooctanoyl-[acp],#7ECBCB
Metabolite,C05749,Hexanoyl-[acp],#82CDCD
Metabolite,C05748,trans-Hex-2-enoyl-[acp],#83CDCD
Metabolite,C05747,(R)-3-Hydroxyhexanoyl-[acp],#83CDCD
Metabolite,C05746,3-Oxohexanoyl-[acp],#82CDCD
Metabolite,C05745,Butyryl-[acp],#78C9C9
Metabolite,C04246,But-2-enoyl-[acyl-carrier protein],#7CCACA
Metabolite,C04618,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein],#7ACACA
Metabolite,C05744,Acetoacetyl-[acp],#79C9C9
Metabolite,C01209,Malonyl-[acyl-carrier protein],#82CDCD
Metabolite,C03939,Acetyl-[acyl-carrier protein],#73C7C7
Metabolite,C11434,2-C-Methyl-D-erythritol 4-phosphate,#9EE283
Metabolite,C11435,4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol,#9EE284
Metabolite,C11436,2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,#98E07C
Metabolite,C11453,"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate",#9DE283
Metabolite,C11811,1-Hydroxy-2-methyl-2-butenyl 4-diphosphate,#98E07D
Metabolite,C01143,(R)-5-Diphosphomevalonate,#A0E387
Metabolite,C01107,(R)-5-Phosphomevalonate,#9EE284
Metabolite,C16239,Lipoyl-[acp],#FFAEC9
Metabolite,C16236,Protein N6-(octanoyl)lysine,#FFAEC9
Metabolite,C16237,Protein N6-(lipoyl)lysine,#FFACC7
Metabolite,C16238,Lipoyl-AMP,#FFB2CC
Metabolite,C16241,(R)-Lipoate,#FFAFC9
Metabolite,C01561,Calcidiol,#83CDCD
Metabolite,C01673,Calcitriol,#83CDCD
Metabolite,C01921,Glycocholate,#7BCACA
Metabolite,C00751,Squalene,#9EE284
Metabolite,C01054,"(S)-2,3-Epoxysqualene",#9BE180
Metabolite,C01724,Lanosterol,#81CCCC
Metabolite,C11455,"4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",#7DCBCB
Metabolite,C05108,14-Demethyllanosterol,#7DCBCB
Metabolite,C15808,4alpha-Methylzymosterol-4-carboxylate,#83CDCD
Metabolite,C15816,3-Keto-4-methylzymosterol,#7DCBCB
Metabolite,C05103,4alpha-Methylzymosterol,#83CDCD
Metabolite,C05437,Zymosterol,#82CDCD
Metabolite,C15882,2-Methyl-6-phytylquinol,#FFB4CD
Metabolite,C15883,"2,3-Dimethyl-5-phytylquinol",#FFB3CC
Metabolite,C02483,gamma-Tocopherol,#FFB5CD
Metabolite,C02477,alpha-Tocopherol,#FFAFC9
Metabolite,C14152,beta-Tocopherol,#FFB5CD
Metabolite,C14151,delta-Tocopherol,#FFB4CD
Metabolite,C01902,Cycloartenol,#7FCCCC
Metabolite,C03845,5alpha-Cholest-8-en-3beta-ol,#81CCCC
Metabolite,C01189,Lathosterol,#81CDCD
Metabolite,C01164,7-Dehydrocholesterol,#81CCCC
Metabolite,C01802,Desmosterol,#84CECE
Metabolite,C05107,7-Dehydrodesmosterol,#83CDCD
Metabolite,C05439,"5alpha-Cholesta-7,24-dien-3beta-ol",#7FCCCC
Metabolite,C05443,Vitamin D3,#7FCCCC
Metabolite,C03594,7alpha-Hydroxycholesterol,#82CDCD
Metabolite,C05455,7alpha-Hydroxycholest-4-en-3-one,#83CDCD
Metabolite,C17339,"4-Cholesten-7alpha,12alpha-diol-3-one",#81CCCC
Metabolite,C05453,"7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one",#7DCBCB
Metabolite,C05454,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane",#77C9C9
Metabolite,C05446,"3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane",#81CDCD
Metabolite,C01301,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al",#7FCBCB
Metabolite,C04722,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate",#82CDCD
Metabolite,C15613,"(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA",#79C9C9
Metabolite,C17343,"(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA",#7BCACA
Metabolite,C05460,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA",#75C7C7
Metabolite,C05467,"3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA",#7CCBCB
Metabolite,C01794,Choloyl-CoA,#78C9C9
Metabolite,C00695,Cholic acid,#82CDCD
Metabolite,C05451,7alpha-Hydroxy-5beta-cholestan-3-one,#82CDCD
Metabolite,C05452,"3alpha,7alpha-Dihydroxy-5beta-cholestane",#7DCBCB
Metabolite,C05444,"3alpha,7alpha,26-Trihydroxy-5beta-cholestane",#84CDCD
Metabolite,C05445,"3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al",#7ECBCB
Metabolite,C04554,"3alpha,7alpha-Dihydroxy-5beta-cholestanate",#83CDCD
